"";"Deaths";"Crude.Rate"
"Kentucky-2008";611;14,243
"Kentucky-2009";592;13,713
"Kentucky-2010";631;14,541
"Kentucky-2011";675;15,449
"Kentucky-2012";722;16,466
"Kentucky-2013";698;15,862
"Kentucky-2014";728;16,497
"Kentucky-2015";775;17,516
"Kentucky-2016";756;17,039
"Louisiana-1990";558;13,215
"Louisiana-1991";558;13,108
"Louisiana-1992";529;12,317
"Louisiana-1993";530;12,271
"Louisiana-1994";552;12,69
"Louisiana-1995";544;12,417
"Louisiana-1996";531;12,063
"Louisiana-1997";528;11,934
"Louisiana-1998";480;10,802
"Louisiana-1999";518;11,612
"Louisiana-2000";467;10,45
"Louisiana-2001";491;10,965
"Louisiana-2002";497;11,051
"Louisiana-2003";460;10,175
"Louisiana-2004";537;11,796
"Louisiana-2005";505;11,034
"Louisiana-2006";490;11,388
"Louisiana-2007";521;11,907
"Louisiana-2008";531;11,971
"Louisiana-2009";490;10,909
"Louisiana-2010";557;12,287
"Louisiana-2011";571;12,48
"Louisiana-2012";567;12,317
"Louisiana-2013";581;12,558
"Louisiana-2014";678;14,587
"Louisiana-2015";721;15,442
"Louisiana-2016";676;14,439
"Maine-1990";155;12,624
"Maine-1991";177;14,303
"Maine-1992";157;12,674
"Maine-1993";181;14,568
"Maine-1994";168;13,517
"Maine-1995";161;12,947
"Maine-1996";171;13,689
"Maine-1997";137;10,918
"Maine-1998";196;15,563
"Maine-1999";175;13,814
"Maine-2000";154;12,079
"Maine-2001";160;12,445
"Maine-2002";166;12,809
"Maine-2003";137;10,486
"Maine-2004";171;13,017
"Maine-2005";175;13,27
"Maine-2006";158;11,937
"Maine-2007";190;14,318
"Maine-2008";181;13,604
"Maine-2009";197;14,817
"Maine-2010";186;14,002
"Maine-2011";233;17,542
"Maine-2012";209;15,727
"Maine-2013";245;18,434
"Maine-2014";220;16,532
"Maine-2015";235;17,676
"Maine-2016";225;16,899
"Maryland-1990";486;10,159
"Maryland-1991";429;8,812
"Maryland-1992";461;9,361
"Maryland-1993";529;10,639
"Maryland-1994";528;10,51
"Maryland-1995";509;10,039
"Maryland-1996";501;9,798
"Maryland-1997";519;10,065
"Maryland-1998";497;9,547
"Maryland-1999";433;8,241
"Maryland-2000";474;8,949
"Maryland-2001";452;8,41
"Maryland-2002";477;8,768
"Maryland-2003";491;8,933
"Maryland-2004";497;8,96
"Maryland-2005";471;8,422
"Maryland-2006";493;8,761
"Maryland-2007";517;9,145
"Maryland-2008";503;8,848
"Maryland-2009";551;9,615
"Maryland-2010";502;8,695
"Maryland-2011";556;9,515
"Maryland-2012";582;9,882
"Maryland-2013";567;9,56
"Maryland-2014";605;10,139
"Maryland-2015";553;9,224
"Maryland-2016";585;9,723
"Massachusetts-1990";528;8,772
"Massachusetts-1991";489;8,123
"Massachusetts-1992";534;8,855
"Massachusetts-1993";467;7,704
"Massachusetts-1994";512;8,398
"Massachusetts-1995";489;7,962
